subject,session,mapping,run,trial_nr,orientation,value,reward,response,response_time
2,1,cdf,1,1,142.5,32.5,42.0,32.5,1.674435299999999
2,1,cdf,1,2,165.0,36.0,67.0,36.0,2.5584757000000025
2,1,cdf,1,3,127.5,31.5,42.0,30.0,1.9454160999999883
2,1,cdf,1,4,60.0,13.0,42.0,12.5,1.9808414999999968
2,1,cdf,1,5,45.0,12.0,42.0,11.0,2.1929853999999978
2,1,cdf,1,6,22.5,10.0,49.0,8.0,2.570285800000022
2,1,cdf,1,7,157.5,34.0,59.0,36.0,2.3668011999999976
2,1,cdf,1,8,67.5,14.0,51.0,14.0,1.6641218999999978
2,1,cdf,1,9,52.5,12.5,50.0,14.0,2.782489099999964
2,1,cdf,1,10,112.5,30.0,68.0,30.0,2.865075499999989
2,1,cdf,1,11,120.0,31.0,47.0,30.0,2.5820192999999563
2,1,cdf,1,12,37.5,11.5,42.0,12.0,1.8275785000000155
2,1,cdf,1,13,135.0,32.0,71.0,31.5,2.0279734000000076
2,1,cdf,1,14,150.0,33.0,60.5,33.0,2.134090599999979
2,1,cdf,1,15,172.5,38.5,0.0,,
2,1,cdf,1,16,15.0,8.0,42.0,8.0,1.4269235000000435
2,1,cdf,1,17,75.0,16.0,42.0,16.0,2.525878299999988
2,1,cdf,1,18,105.0,28.0,42.0,30.0,2.39344460000001
2,1,cdf,1,19,97.5,25.5,64.0,28.0,1.6861011000000303
2,1,cdf,1,20,7.5,5.5,0.0,,
2,1,cdf,1,21,82.5,18.5,42.0,16.0,2.0633042000000046
2,1,cdf,1,22,90.0,22.0,43.5,22.0,2.8885285000000067
2,1,cdf,1,23,30.0,11.0,46.5,11.0,2.2184250000000247
2,1,cdf,2,24,112.5,30.0,57.0,30.0,1.439095899999984
2,1,cdf,2,25,15.0,8.0,42.0,8.0,2.806328600000029
2,1,cdf,2,26,135.0,32.0,63.5,32.5,1.1089059000000248
2,1,cdf,2,27,67.5,14.0,42.0,16.0,2.771188499999994
2,1,cdf,2,28,127.5,31.5,53.0,32.0,2.26378470000003
2,1,cdf,2,29,60.0,13.0,45.0,12.0,1.6036280000000147
2,1,cdf,2,30,82.5,18.5,50.0,16.0,1.4382799999999634
2,1,cdf,2,31,22.5,10.0,42.0,10.0,0.8846495000000232
2,1,cdf,2,32,105.0,28.0,60.5,30.0,2.4288553000000093
2,1,cdf,2,33,165.0,36.0,45.5,36.0,1.6638004999999794
2,1,cdf,2,34,142.5,32.5,56.5,34.5,2.3227246999999807
2,1,cdf,2,35,7.5,5.5,42.0,5.5,1.308907999999974
2,1,cdf,2,36,90.0,22.0,56.0,22.0,1.80414159999998
2,1,cdf,2,37,120.0,31.0,42.0,30.0,1.8042805000000044
2,1,cdf,2,38,52.5,12.5,53.5,12.5,1.5092251999999462
2,1,cdf,2,39,97.5,25.5,42.0,25.5,1.8395907999999963
2,1,cdf,2,40,30.0,11.0,51.5,11.0,1.6164099000000078
2,1,cdf,2,41,37.5,11.5,48.0,12.0,1.1437573000000612
2,1,cdf,2,42,157.5,34.0,69.5,34.0,1.9583342000000812
2,1,cdf,2,43,45.0,12.0,42.0,13.5,1.9100725000000691
2,1,cdf,2,44,75.0,16.0,0.0,,
2,1,cdf,2,45,150.0,33.0,74.5,34.0,1.6040107000000037
2,1,cdf,2,46,172.5,38.5,42.0,38.0,2.417019800000048
2,1,cdf,3,47,60.0,13.0,42.0,12.5,1.4633289000000786
2,1,cdf,3,48,30.0,11.0,42.0,10.5,1.4979449999999588
2,1,cdf,3,49,90.0,22.0,58.5,22.0,2.3225482000000284
2,1,cdf,3,50,105.0,28.0,58.0,30.0,1.5694048000000294
2,1,cdf,3,51,142.5,32.5,64.5,35.0,1.8746977000000695
2,1,cdf,3,52,7.5,5.5,42.0,5.5,2.240052100000071
2,1,cdf,3,53,127.5,31.5,50.0,32.5,1.4501536999999871
2,1,cdf,3,54,120.0,31.0,61.0,31.0,1.3440489000000753
2,1,cdf,3,55,97.5,25.5,42.0,25.5,1.4974721000000957
2,1,cdf,3,56,22.5,10.0,42.0,11.5,1.958032800000069
2,1,cdf,3,57,135.0,32.0,50.0,33.0,2.1824856000000636
2,1,cdf,3,58,52.5,12.5,42.0,13.0,1.169354999999996
2,1,cdf,3,59,82.5,18.5,42.0,16.0,1.2617173999999522
2,1,cdf,3,60,45.0,12.0,42.0,12.0,2.4878130000000738
2,1,cdf,3,61,165.0,36.0,59.0,36.0,1.3914026000001058
2,1,cdf,3,62,37.5,11.5,42.0,11.5,2.0278114999999843
2,1,cdf,3,63,112.5,30.0,42.0,29.0,1.722222800000054
2,1,cdf,3,64,75.0,16.0,42.0,16.0,1.2993053000000143
2,1,cdf,3,65,15.0,8.0,42.0,11.5,2.1950552999999218
2,1,cdf,3,66,157.5,34.0,62.0,35.5,2.1837266000001136
2,1,cdf,3,67,150.0,33.0,54.0,34.0,2.028557800000044
2,1,cdf,3,68,172.5,38.5,54.5,39.0,1.5092566000000716
2,1,cdf,3,69,67.5,14.0,42.0,14.0,1.9815546999998332
2,1,cdf,4,70,37.5,11.5,42.0,11.5,1.702734099999816
2,1,cdf,4,71,97.5,25.5,66.5,25.5,1.1566741000001457
2,1,cdf,4,72,30.0,11.0,42.0,12.0,1.9924525999999787
2,1,cdf,4,73,67.5,14.0,43.0,15.5,2.6526280000000497
2,1,cdf,4,74,127.5,31.5,49.5,32.0,1.7096478000000843
2,1,cdf,4,75,150.0,33.0,42.5,34.5,1.745030799999995
2,1,cdf,4,76,45.0,12.0,42.0,14.0,1.3655155999999806
2,1,cdf,4,77,157.5,34.0,67.5,35.0,1.8982817000000975
2,1,cdf,4,78,120.0,31.0,42.0,30.0,1.8863668999999843
