subject,session,run,trial_nr,n1,n2,p1,p2,choice,rt
02,3t2,1,1,5.0,5.0,0.55,1.0,True,1.096017316826174
02,3t2,1,2,7.0,7.0,0.55,1.0,True,1.3246269050271169
02,3t2,1,3,37.0,20.0,0.55,1.0,True,1.224786048419226
02,3t2,1,4,47.0,20.0,0.55,1.0,False,1.1257235810969632
02,3t2,1,5,18.0,10.0,0.55,1.0,True,1.1753744510517663
02,3t2,1,6,18.0,14.0,0.55,1.0,True,1.391700375272194
02,3t2,1,7,32.0,28.0,0.55,1.0,True,0.890794363894841
02,3t2,1,8,13.0,7.0,0.55,1.0,False,0.9242813761245544
02,3t2,1,9,13.0,10.0,0.55,1.0,True,1.0911366382080985
02,3t2,1,10,11.0,5.0,0.55,1.0,False,1.258715745070532
02,3t2,1,11,9.0,7.0,0.55,1.0,False,1.8258411983399585
02,3t2,1,12,14.0,14.0,0.55,1.0,True,0.8579199979749319
02,3t2,1,13,14.0,18.0,1.0,0.55,False,1.9095658106593871
02,3t2,1,14,28.0,32.0,1.0,0.55,False,2.110849806427467
02,3t2,1,15,14.0,33.0,1.0,0.55,True,1.258452967115517
02,3t2,1,16,10.0,14.0,1.0,0.55,True,1.6761578126267975
02,3t2,1,17,14.0,26.0,1.0,0.55,True,0.8913485481368753
02,3t2,1,18,28.0,59.0,1.0,0.55,True,0.8413583571075378
02,3t2,1,19,14.0,20.0,1.0,0.55,False,1.3082834421861662
02,3t2,1,20,28.0,59.0,1.0,0.55,True,1.0085026146707037
02,3t2,1,21,7.0,13.0,1.0,0.55,False,2.1938020564784892
02,3t2,1,22,5.0,9.0,1.0,0.55,True,1.6595841177243074
02,3t2,1,23,7.0,11.0,1.0,0.55,True,1.8097819093651992
02,3t2,1,24,5.0,5.0,1.0,0.55,False,1.291671475724172
02,3t2,2,25,52.0,28.0,0.55,1.0,False,1.9141285641142076
02,3t2,2,26,23.0,14.0,0.55,1.0,False,2.3272706561704126
02,3t2,2,27,11.0,7.0,0.55,1.0,True,1.8099985806375116
02,3t2,2,28,33.0,20.0,0.55,1.0,True,1.5919061376430363
02,3t2,2,29,42.0,20.0,0.55,1.0,True,1.1247466015911414
02,3t2,2,30,10.0,5.0,0.55,1.0,False,1.1915443357941058
02,3t2,2,31,16.0,14.0,0.55,1.0,False,1.6753348234128538
02,3t2,2,32,33.0,14.0,0.55,1.0,True,2.27716173290014
02,3t2,2,33,10.0,5.0,0.55,1.0,False,1.1412829289856743
02,3t2,2,34,37.0,20.0,0.55,1.0,True,1.3250813421325631
