subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
100,1.0,225.0,5.32,13.97,1.0,0.55,False,True,1.3936820999999782
100,1.0,227.0,7.46,12.89,1.0,0.55,False,False,1.3697379000000185
100,1.0,229.0,21.77,47.59,1.0,0.55,False,True,2.100487300000168
100,1.0,231.0,13.23,51.8,1.0,0.55,False,True,1.0278074999998807
100,1.0,233.0,7.68,29.86,1.0,0.55,False,True,1.2164880999998786
100,1.0,235.0,25.86,89.87,1.0,0.55,False,True,0.9573220999998284
100,1.0,237.0,20.24,71.18,1.0,0.55,False,True,0.9001236999999946
100,1.0,239.0,11.89,41.59,1.0,0.55,False,True,1.393289300000106
100,1.0,241.0,21.84,38.63,1.0,0.55,False,False,0.9099909999999908
100,1.0,243.0,6.16,21.46,1.0,0.55,False,True,0.8038269999999557
100,1.0,245.0,10.78,41.15,1.0,0.55,False,True,0.8627462000001742
100,1.0,247.0,8.78,11.47,1.0,0.55,False,False,1.086700800000017
100,1.0,249.0,5.29,5.71,1.0,0.55,False,False,0.9334349999999176
100,1.0,251.0,6.25,21.48,1.0,0.55,False,True,0.9806300999998712
100,1.0,253.0,9.35,30.91,1.0,0.55,False,True,1.3460955000000467
100,1.0,255.0,27.53,77.35,1.0,0.55,False,True,0.7684207000002061
100,1.0,226.0,25.7,8.8,0.55,1.0,True,False,2.0770081999999093
100,1.0,228.0,13.68,7.88,0.55,1.0,True,True,1.9709407999998805
100,1.0,230.0,9.96,5.45,0.55,1.0,True,True,2.5488466999997854
100,1.0,232.0,29.7,17.6,0.55,1.0,True,True,1.3461698999999498
100,1.0,234.0,28.41,8.41,0.55,1.0,True,False,1.7705044000003909
100,1.0,236.0,32.11,9.38,0.55,1.0,True,False,1.0749671000003218
100,1.0,238.0,20.03,10.46,0.55,1.0,True,True,1.8176910999995928
100,1.0,240.0,29.06,7.46,0.55,1.0,True,False,1.487590100000034
100,1.0,242.0,8.75,8.02,0.55,1.0,True,True,1.42894699999988
100,1.0,244.0,25.4,8.15,0.55,1.0,True,False,1.3343721000001096
100,1.0,246.0,40.04,16.45,0.55,1.0,True,False,2.1242129000002024
100,1.0,248.0,23.22,9.37,0.55,1.0,True,False,2.348273600000084
100,1.0,250.0,12.37,7.63,0.55,1.0,True,True,1.3579036999999516
100,1.0,252.0,27.6,20.73,0.55,1.0,True,True,1.4404335999997784
100,1.0,254.0,11.89,5.44,0.55,1.0,True,True,1.723413399999572
100,1.0,256.0,47.56,27.59,0.55,1.0,True,True,2.1595861000000696
100,2.0,225.0,5.85,15.15,1.0,0.55,False,True,1.1695574000000306
100,2.0,227.0,26.79,72.5,1.0,0.55,False,True,0.8274037000001044
100,2.0,229.0,9.95,33.99,1.0,0.55,False,True,0.8392493000001195
100,2.0,231.0,25.68,101.54,1.0,0.55,False,True,0.8746055999999953
100,2.0,233.0,15.6,58.97,1.0,0.55,False,True,0.7921080999999504
100,2.0,235.0,16.53,43.48,1.0,0.55,False,True,0.780283000000054
100,2.0,237.0,6.82,12.08,1.0,0.55,False,False,0.9570543999998335
100,2.0,239.0,19.91,35.49,1.0,0.55,False,False,0.9923961999998028
100,2.0,241.0,6.62,24.13,1.0,0.55,False,True,0.8274243000000752
100,2.0,243.0,6.46,22.67,1.0,0.55,False,True,0.8274274000000332
100,2.0,245.0,5.31,19.05,1.0,0.55,False,True,0.768548500000179
100,2.0,247.0,8.09,14.22,1.0,0.55,False,False,1.3343928999997845
100,2.0,249.0,11.85,22.57,1.0,0.55,False,False,0.980714799999987
100,2.0,251.0,7.08,26.63,1.0,0.55,False,True,0.8864166999996996
100,2.0,253.0,8.65,34.59,1.0,0.55,False,True,0.8274415999999292
100,2.0,255.0,6.77,21.96,1.0,0.55,False,True,1.3107919999997648
100,2.0,226.0,19.63,11.4,0.55,1.0,True,True,1.239879799999926
100,2.0,228.0,31.97,25.91,0.55,1.0,True,True,0.8038904000000002
100,2.0,230.0,35.81,13.12,0.55,1.0,True,False,1.0990034000001287
100,2.0,232.0,29.45,17.43,0.55,1.0,True,True,0.8510679999999411
100,2.0,234.0,59.04,18.69,0.55,1.0,True,False,1.487649799999872
100,2.0,236.0,57.78,18.22,0.55,1.0,True,False,1.7354591999996956
100,2.0,238.0,28.04,12.83,0.55,1.0,True,False,1.2990187999998852
100,2.0,240.0,55.43,19.29,0.55,1.0,True,False,0.9217514000001756
100,2.0,242.0,5.76,5.54,0.55,1.0,True,True,1.0160713999998734
100,2.0,244.0,23.77,13.0,0.55,1.0,True,True,0.9335464000000684
100,2.0,246.0,35.53,13.55,0.55,1.0,True,False,0.9099154000000452
100,2.0,248.0,31.2,12.81,0.55,1.0,True,False,0.8746532999998635
100,2.0,250.0,63.93,21.28,0.55,1.0,True,False,1.0986037000002398
100,2.0,252.0,82.75,26.51,0.55,1.0,True,False,1.0632550999998784
100,2.0,254.0,84.12,21.08,0.55,1.0,True,False,0.9335740999999872
100,2.0,256.0,29.46,13.52,0.55,1.0,True,False,1.098626200000126
100,3.0,225.0,32.11,14.21,0.55,1.0,True,False,1.5466020000003482
100,3.0,227.0,41.28,12.11,0.55,1.0,True,False,0.8037673000003451
100,3.0,229.0,46.49,13.2,0.55,1.0,True,False,1.0042538000002423
100,3.0,231.0,48.44,26.3,0.55,1.0,True,False,0.9807718000001842
100,3.0,233.0,28.74,11.31,0.55,1.0,True,False,1.0396442999999636
100,3.0,235.0,24.55,6.94,0.55,1.0,True,False,1.534838099999888
100,3.0,237.0,19.28,14.1,0.55,1.0,True,True,1.3933587000001353
100,3.0,239.0,12.6,5.05,0.55,1.0,True,False,0.8864840000001095
100,3.0,241.0,17.65,5.89,0.55,1.0,True,False,1.8414268000001357
100,3.0,243.0,22.97,16.07,0.55,1.0,True,True,0.9571670000000267
100,3.0,245.0,19.38,16.91,0.55,1.0,True,True,0.8628728999997293
100,3.0,247.0,51.01,21.91,0.55,1.0,True,False,0.8864346000000296
100,3.0,249.0,57.75,23.38,0.55,1.0,True,False,1.8060270999999375
100,3.0,251.0,15.49,11.96,0.55,1.0,True,True,1.0396853999995983
100,3.0,253.0,16.68,5.07,0.55,1.0,True,False,0.8157270000001517
100,3.0,255.0,56.45,26.6,0.55,1.0,True,False,1.145826099999795
100,3.0,226.0,6.8,10.95,1.0,0.55,False,False,1.110501000000113
100,3.0,228.0,12.9,48.42,1.0,0.55,False,True,0.8867806999996901
100,3.0,230.0,14.59,41.68,1.0,0.55,False,True,0.6979027000002134
100,3.0,232.0,6.14,23.78,1.0,0.55,False,True,1.0043620999999805
100,3.0,234.0,15.55,35.11,1.0,0.55,False,True,0.8746893000002274
100,3.0,236.0,12.45,30.72,1.0,0.55,False,True,0.7921648999999888
100,3.0,238.0,6.21,18.18,1.0,0.55,False,True,0.8157462999997733
100,3.0,240.0,22.24,74.43,1.0,0.55,False,True,0.7685980999999629
100,3.0,242.0,6.15,14.86,1.0,0.55,False,True,1.275495200000023
100,3.0,244.0,11.5,34.39,1.0,0.55,False,True,1.1105374999997366
100,3.0,246.0,8.38,29.21,1.0,0.55,False,True,0.9571586999995816
100,3.0,248.0,11.9,35.41,1.0,0.55,False,True,0.8275641000000178
100,3.0,250.0,8.49,22.48,1.0,0.55,False,True,1.1222523999999794
100,3.0,252.0,23.22,64.59,1.0,0.55,False,True,0.88651260000006
100,3.0,254.0,6.84,15.5,1.0,0.55,False,True,0.8747671999999511
100,3.0,256.0,26.06,55.98,1.0,0.55,False,True,0.7568285000002106
100,4.0,225.0,35.16,21.94,0.55,1.0,True,True,0.9571605000001
100,4.0,227.0,24.34,14.27,0.55,1.0,True,True,1.1576810000001387
100,4.0,229.0,12.09,7.1,0.55,1.0,True,True,0.9336104999997588
100,4.0,231.0,22.35,14.56,0.55,1.0,True,True,1.4642934000003152
100,4.0,233.0,27.19,8.64,0.55,1.0,True,False,1.4052768999999898
100,4.0,235.0,20.26,14.44,0.55,1.0,True,True,0.8747041999999965
100,4.0,237.0,25.58,16.63,0.55,1.0,True,True,1.4170272999999725
100,4.0,239.0,52.1,16.0,0.55,1.0,True,False,1.1578291999999235
