subject,session,stimulation_condition,run,trial_nr,n1,n2,p1,p2,choice,rt
1,1,baseline,1,1,28.0,86.0,1.0,0.55,2.0,1.5687717999999222
1,1,baseline,1,2,7.0,21.0,1.0,0.55,2.0,1.1916524999997051
1,1,baseline,1,3,7.0,21.0,1.0,0.55,2.0,0.7473368000000846
1,1,baseline,1,4,10.0,24.0,1.0,0.55,1.0,1.6115740000000471
1,1,baseline,1,5,20.0,44.0,1.0,0.55,2.0,1.318757199999709
1,1,baseline,1,6,10.0,27.0,1.0,0.55,1.0,1.6590519999999458
1,1,baseline,1,7,28.0,69.0,1.0,0.55,2.0,1.5515305999997508
1,1,baseline,1,8,10.0,19.0,1.0,0.55,1.0,1.1543341999999797
1,1,baseline,1,9,20.0,39.0,1.0,0.55,1.0,1.038518099999692
1,1,baseline,1,10,14.0,24.0,1.0,0.55,1.0,0.9046868999998878
1,1,baseline,1,11,49.0,28.0,0.55,1.0,2.0,0.6029906999997365
1,1,baseline,1,12,17.0,7.0,0.55,1.0,1.0,0.950464499999697
1,1,baseline,1,13,13.0,7.0,0.55,1.0,1.0,1.6617621000000327
1,1,baseline,1,14,49.0,28.0,0.55,1.0,2.0,1.2322877000001142
1,1,baseline,1,15,31.0,14.0,0.55,1.0,1.0,1.4277822999997625
1,1,baseline,1,16,44.0,20.0,0.55,1.0,1.0,1.292725799999971
1,1,baseline,1,17,19.0,7.0,0.55,1.0,1.0,1.1388455000001159
1,1,baseline,1,18,35.0,20.0,0.55,1.0,2.0,0.6442594000000099
1,1,baseline,1,19,12.0,7.0,0.55,1.0,2.0,0.8527466000000459
1,1,baseline,1,20,21.0,7.0,0.55,1.0,1.0,1.329657700000098
1,1,baseline,2,21,69.0,28.0,0.55,1.0,1.0,1.2158414999998968
1,1,baseline,2,22,86.0,28.0,0.55,1.0,1.0,0.9160643000000164
1,1,baseline,2,23,27.0,10.0,0.55,1.0,1.0,1.4254554999997708
1,1,baseline,2,24,30.0,10.0,0.55,1.0,1.0,1.4537962999997802
1,1,baseline,2,25,86.0,28.0,0.55,1.0,1.0,1.052283500000172
1,1,baseline,2,26,22.0,10.0,0.55,1.0,2.0,1.3585635999998118
1,1,baseline,2,27,19.0,10.0,0.55,1.0,2.0,1.780603700000043
1,1,baseline,2,28,34.0,14.0,0.55,1.0,1.0,1.0898019999999633
1,1,baseline,2,29,39.0,20.0,0.55,1.0,1.0,1.2849403999998685
1,1,baseline,2,30,30.0,10.0,0.55,1.0,1.0,0.9399378999996486
1,1,baseline,2,31,7.0,17.0,1.0,0.55,1.0,1.4888140000003034
1,1,baseline,2,32,14.0,31.0,1.0,0.55,1.0,1.1858028999999988
1,1,baseline,2,33,14.0,38.0,1.0,0.55,2.0,0.9369449999999233
1,1,baseline,2,34,7.0,12.0,1.0,0.55,1.0,1.164571799999976
1,1,baseline,2,35,7.0,15.0,1.0,0.55,2.0,1.3492482000001473
1,1,baseline,2,36,14.0,27.0,1.0,0.55,2.0,0.9459090000000003
1,1,baseline,2,37,10.0,17.0,1.0,0.55,1.0,1.0829396000003726
1,1,baseline,2,38,28.0,55.0,1.0,0.55,1.0,1.6609642000003078
1,1,baseline,2,39,28.0,49.0,1.0,0.55,1.0,0.9803790000000845
1,1,baseline,2,40,28.0,62.0,1.0,0.55,2.0,1.4971465999997235
1,1,baseline,3,41,7.0,15.0,1.0,0.55,2.0,1.2567877000001317
1,1,baseline,3,42,14.0,31.0,1.0,0.55,1.0,1.1488595000000714
1,1,baseline,3,43,20.0,61.0,1.0,0.55,2.0,1.0381277999999838
1,1,baseline,3,44,7.0,19.0,1.0,0.55,2.0,1.2945359999998942
1,1,baseline,3,45,28.0,86.0,1.0,0.55,2.0,1.431923099999949
1,1,baseline,3,46,10.0,19.0,1.0,0.55,1.0,1.2314066000003692
1,1,baseline,3,47,20.0,55.0,1.0,0.55,2.0,1.4058221999998892
1,1,baseline,3,48,7.0,12.0,1.0,0.55,1.0,1.1286064999999326
1,1,baseline,3,49,10.0,27.0,1.0,0.55,2.0,1.7935793999999987
1,1,baseline,3,50,20.0,55.0,1.0,0.55,1.0,1.2837455999996905
1,1,baseline,3,51,24.0,10.0,0.55,1.0,2.0,1.644761800000225
1,1,baseline,3,52,43.0,14.0,0.55,1.0,1.0,1.8571308000000784
1,1,baseline,3,53,17.0,10.0,0.55,1.0,2.0,0.8578349000003982
1,1,baseline,3,54,69.0,28.0,0.55,1.0,2.0,1.6700151000000005
1,1,baseline,3,55,12.0,7.0,0.55,1.0,2.0,0.7937000000001717
1,1,baseline,3,56,77.0,28.0,0.55,1.0,1.0,1.115988900000076
1,1,baseline,3,57,15.0,7.0,0.55,1.0,1.0,1.2260559999999714
1,1,baseline,3,58,24.0,14.0,0.55,1.0,2.0,0.632501300000115
1,1,baseline,3,59,38.0,14.0,0.55,1.0,2.0,1.498700799999824
1,1,baseline,3,60,39.0,20.0,0.55,1.0,2.0,1.1434008000000517
1,1,baseline,4,61,7.0,13.0,1.0,0.55,1.0,1.5405873999998256
1,1,baseline,4,62,14.0,38.0,1.0,0.55,1.0,1.1175403999996263
1,1,baseline,4,63,20.0,49.0,1.0,0.55,2.0,0.9059815000000881
1,1,baseline,4,64,20.0,35.0,1.0,0.55,1.0,0.8854956000004677
1,1,baseline,4,65,28.0,49.0,1.0,0.55,1.0,1.2680006999999023
1,1,baseline,4,66,10.0,22.0,1.0,0.55,1.0,1.0700047999998787
1,1,baseline,4,67,14.0,43.0,1.0,0.55,2.0,0.7330830000000645
1,1,baseline,4,68,14.0,34.0,1.0,0.55,2.0,1.1891693999996278
1,1,baseline,4,69,20.0,61.0,1.0,0.55,1.0,1.421872799999619
1,1,baseline,4,70,7.0,17.0,1.0,0.55,2.0,0.9220224999999118
1,1,baseline,4,71,19.0,10.0,0.55,1.0,2.0,1.0248952000001168
1,1,baseline,4,72,77.0,28.0,0.55,1.0,2.0,1.4990506000003734
1,1,baseline,4,73,44.0,20.0,0.55,1.0,2.0,0.8444517000007181
1,1,baseline,4,74,27.0,14.0,0.55,1.0,2.0,0.6370032999993782
1,1,baseline,4,75,21.0,7.0,0.55,1.0,1.0,1.0489846000000398
1,1,baseline,4,76,17.0,10.0,0.55,1.0,2.0,0.9429570000002059
1,1,baseline,4,77,55.0,20.0,0.55,1.0,1.0,1.6739204000004975
1,1,baseline,4,78,62.0,28.0,0.55,1.0,1.0,1.929826800000228
1,1,baseline,4,79,24.0,10.0,0.55,1.0,1.0,1.5193694999998115
1,1,baseline,4,80,24.0,14.0,0.55,1.0,2.0,0.6122523999993064
1,1,baseline,5,81,20.0,39.0,1.0,0.55,1.0,0.8582253000004201
1,1,baseline,5,82,14.0,34.0,1.0,0.55,1.0,1.2806566999997813
1,1,baseline,5,83,14.0,24.0,1.0,0.55,1.0,1.10169550000046
1,1,baseline,5,84,20.0,44.0,1.0,0.55,2.0,1.0444444000004296
1,1,baseline,5,85,10.0,17.0,1.0,0.55,1.0,0.9491213000001153
1,1,baseline,5,86,28.0,62.0,1.0,0.55,2.0,1.0291398999998052
1,1,baseline,5,87,10.0,22.0,1.0,0.55,1.0,1.0489096999999816
1,1,baseline,5,88,20.0,49.0,1.0,0.55,1.0,1.1589641000000626
1,1,baseline,5,89,28.0,77.0,1.0,0.55,2.0,0.7969038000001092
1,1,baseline,5,90,28.0,55.0,1.0,0.55,1.0,0.9275652000005721
1,1,baseline,5,91,17.0,7.0,0.55,1.0,2.0,1.2536823000000368
1,1,baseline,5,92,15.0,7.0,0.55,1.0,2.0,1.3003577999998015
1,1,baseline,5,93,27.0,10.0,0.55,1.0,2.0,0.9442181000003984
1,1,baseline,5,94,49.0,20.0,0.55,1.0,2.0,1.6617353999999978
1,1,baseline,5,95,38.0,14.0,0.55,1.0,1.0,1.0133358000002772
1,1,baseline,5,96,35.0,20.0,0.55,1.0,2.0,0.7564656000003822
1,1,baseline,5,97,55.0,28.0,0.55,1.0,2.0,0.9706935000003796
1,1,baseline,5,98,61.0,20.0,0.55,1.0,1.0,1.0264384000001883
1,1,baseline,5,99,19.0,7.0,0.55,1.0,2.0,1.3175640999997995
1,1,baseline,5,100,62.0,28.0,0.55,1.0,1.0,1.4344095000005836
1,1,baseline,6,101,43.0,14.0,0.55,1.0,2.0,1.5728804999998829
1,1,baseline,6,102,61.0,20.0,0.55,1.0,1.0,0.9674393000004784
1,1,baseline,6,103,27.0,14.0,0.55,1.0,2.0,0.8825154000005568
1,1,baseline,6,104,55.0,20.0,0.55,1.0,2.0,1.4594284000004336
1,1,baseline,6,105,34.0,14.0,0.55,1.0,2.0,0.7308499000000666
1,1,baseline,6,106,31.0,14.0,0.55,1.0,1.0,1.7910979999996783
1,1,baseline,6,107,55.0,28.0,0.55,1.0,2.0,1.1007270000000062
1,1,baseline,6,108,49.0,20.0,0.55,1.0,1.0,1.2171350999997372
1,1,baseline,6,109,22.0,10.0,0.55,1.0,1.0,1.5815117000001635
1,1,baseline,6,110,13.0,7.0,0.55,1.0,2.0,1.2865277999999307
1,1,baseline,6,111,28.0,77.0,1.0,0.55,1.0,1.5591803999996046
1,1,baseline,6,112,10.0,30.0,1.0,0.55,2.0,1.4646200999995926
1,1,baseline,6,113,7.0,19.0,1.0,0.55,1.0,1.803752899999381
1,1,baseline,6,114,14.0,27.0,1.0,0.55,1.0,0.8974066999999195
1,1,baseline,6,115,20.0,35.0,1.0,0.55,1.0,1.1236734000003992
1,1,baseline,6,116,10.0,30.0,1.0,0.55,2.0,1.2923725000000559
1,1,baseline,6,117,10.0,24.0,1.0,0.55,1.0,1.0624800000005052
1,1,baseline,6,118,14.0,43.0,1.0,0.55,2.0,1.0282579000003693
1,1,baseline,6,119,7.0,13.0,1.0,0.55,2.0,1.5962395000005927
1,1,baseline,6,120,28.0,69.0,1.0,0.55,1.0,1.5834457000000839
1,2,vertex,1,1,28.0,86.0,1.0,0.55,2.0,1.2396919000002526
1,2,vertex,1,2,7.0,21.0,1.0,0.55,2.0,0.8362194999999701
1,2,vertex,1,3,7.0,21.0,1.0,0.55,2.0,0.9313707000001159
1,2,vertex,1,4,10.0,24.0,1.0,0.55,1.0,1.1351639999998042
1,2,vertex,1,5,20.0,44.0,1.0,0.55,1.0,1.0321610000000874
1,2,vertex,1,6,10.0,27.0,1.0,0.55,2.0,1.4606127000001834
1,2,vertex,1,7,28.0,69.0,1.0,0.55,2.0,1.5011702999999983
1,2,vertex,1,8,10.0,19.0,1.0,0.55,1.0,1.0355183000001347
1,2,vertex,1,9,20.0,39.0,1.0,0.55,2.0,1.735000300000138
1,2,vertex,1,10,14.0,24.0,1.0,0.55,1.0,1.3559925999998086
1,2,vertex,1,11,49.0,28.0,0.55,1.0,2.0,1.3857062999995833
1,2,vertex,1,12,17.0,7.0,0.55,1.0,1.0,1.1313636000000145
1,2,vertex,1,13,13.0,7.0,0.55,1.0,2.0,1.5761294999997517
1,2,vertex,1,14,49.0,28.0,0.55,1.0,2.0,1.3678405000000566
1,2,vertex,1,15,31.0,14.0,0.55,1.0,2.0,1.5829902999998922
1,2,vertex,1,16,44.0,20.0,0.55,1.0,1.0,0.871086600000126
1,2,vertex,1,17,19.0,7.0,0.55,1.0,1.0,0.9487242000000151
1,2,vertex,1,18,35.0,20.0,0.55,1.0,2.0,1.46137009999984
1,2,vertex,1,19,12.0,7.0,0.55,1.0,2.0,0.9732994000000872
1,2,vertex,1,20,21.0,7.0,0.55,1.0,1.0,0.9964135000000169
1,2,vertex,2,21,69.0,28.0,0.55,1.0,1.0,1.2805940999996892
1,2,vertex,2,22,86.0,28.0,0.55,1.0,1.0,0.8827916999998635
1,2,vertex,2,23,27.0,10.0,0.55,1.0,1.0,1.720098599999801
1,2,vertex,2,24,30.0,10.0,0.55,1.0,2.0,1.2368412000000717
1,2,vertex,2,25,86.0,28.0,0.55,1.0,1.0,1.6151688999998441
1,2,vertex,2,26,22.0,10.0,0.55,1.0,2.0,1.5964165000000605
1,2,vertex,2,27,19.0,10.0,0.55,1.0,1.0,1.5988283000001644
1,2,vertex,2,28,34.0,14.0,0.55,1.0,2.0,1.3760048999997565
1,2,vertex,2,29,39.0,20.0,0.55,1.0,2.0,0.6635623000001942
1,2,vertex,2,30,30.0,10.0,0.55,1.0,1.0,1.4058423999999548
1,2,vertex,2,31,7.0,17.0,1.0,0.55,2.0,1.6160664999997607
1,2,vertex,2,32,14.0,31.0,1.0,0.55,1.0,1.7514135000000977
1,2,vertex,2,33,14.0,38.0,1.0,0.55,2.0,1.6215380999996967
1,2,vertex,2,34,7.0,12.0,1.0,0.55,1.0,1.2927220000001682
1,2,vertex,2,35,7.0,15.0,1.0,0.55,,
1,2,vertex,2,36,14.0,27.0,1.0,0.55,2.0,0.9304621000001418
1,2,vertex,2,37,10.0,17.0,1.0,0.55,1.0,1.0991867000002458
1,2,vertex,2,38,28.0,55.0,1.0,0.55,1.0,1.07777249999981
1,2,vertex,2,39,28.0,49.0,1.0,0.55,2.0,1.329109199999948
1,2,vertex,2,40,28.0,62.0,1.0,0.55,2.0,1.503548199999841
1,2,vertex,3,41,7.0,15.0,1.0,0.55,2.0,1.184330900000532
1,2,vertex,3,42,14.0,31.0,1.0,0.55,2.0,1.4860647999994399
1,2,vertex,3,43,20.0,61.0,1.0,0.55,2.0,0.94389240000055
1,2,vertex,3,44,7.0,19.0,1.0,0.55,2.0,1.2326608999992459
1,2,vertex,3,45,28.0,86.0,1.0,0.55,1.0,0.963768599999625
1,2,vertex,3,46,10.0,19.0,1.0,0.55,1.0,1.665396499999602
1,2,vertex,3,47,20.0,55.0,1.0,0.55,2.0,1.1978724000000653
1,2,vertex,3,48,7.0,12.0,1.0,0.55,1.0,1.6122848999993948
1,2,vertex,3,49,10.0,27.0,1.0,0.55,2.0,1.5829826999997465
1,2,vertex,3,50,20.0,55.0,1.0,0.55,1.0,0.9244444000005387
1,2,vertex,3,51,24.0,10.0,0.55,1.0,1.0,1.5189486999997257
1,2,vertex,3,52,43.0,14.0,0.55,1.0,1.0,1.6763688999999147
1,2,vertex,3,53,17.0,10.0,0.55,1.0,2.0,0.8723546000001079
1,2,vertex,3,54,69.0,28.0,0.55,1.0,1.0,1.1753453000000604
1,2,vertex,3,55,12.0,7.0,0.55,1.0,1.0,1.236581500000284
1,2,vertex,3,56,77.0,28.0,0.55,1.0,1.0,1.4251397000007273
1,2,vertex,3,57,15.0,7.0,0.55,1.0,1.0,0.8879218000001856
