subject,run,trial_nr,cueonset1,cueoffset1,cueonset2,cueoffset2,stimonset1,stimoffset1,isistimonset,isistimoffset,stimonset2,stimoffset2,responseonset1,responseonset2,responseoffset,cuediff1,cuediff2,stimdiff1,isistimdiff,stimdiff2,rt,rt2,responsecueduration_final,remainduration,responsediff1,responsediff2,durationdiff,trialaccumulation,trialduration,accuracy,prob_value,diffval,rad,correct,leftright,pressedkey,n1,n2,choice
1,1,1,35070,36600,36600,37630,37630,38243,38276,46276,46276,46903,46936,46971,50047,1530,1030,613,8000,627,775,0,600,1625,3111,3076,1025,15.01429881,15.01429881,1,10,-3,190,-1,-1,49,7,10,1.0
1,1,2,50095,51614,51614,52628,52628,53248,53280,61780,61780,62380,62412,62446,65562,1519,1014,620,8500,600,892,0,600,1555,3150,3116,955,30.48175817,15.46745936,0,14,-9,170,-1,1,51,5,14,2.0
1,1,3,65565,67087,67087,68095,68095,68719,68752,75252,75252,75852,75885,75918,79003,1522,1008,624,6500,600,611,0,600,1835,3118,3085,1235,43.92283997,13.4410818,1,14,-7,210,-1,-1,49,7,14,1.0
1,1,4,79005,80523,80523,81527,81527,82147,82180,89180,89180,89810,89842,89876,92943,1518,1004,620,7000,630,660,0,600,1768,3101,3067,1168,57.86350214,13.94066217,1,10,-3,210,-1,-1,49,7,10,1.0
1,1,5,92946,94467,94467,95473,95473,96096,96129,105129,105129,105754,105786,105820,108904,1521,1006,623,9000,625,830,0,600,1595,3118,3084,995,73.82328835,15.95978621,1,10,-5,150,-1,-1,49,5,10,1.0
1,1,6,108906,110428,110428,111437,111437,112043,112075,119575,119575,120206,120238,120272,123336,1522,1009,606,7500,631,687,0,600,1745,3098,3064,1145,88.25560596,14.43231761,1,10,18,150,1,1,51,28,10,2.0
1,1,7,123338,124860,124860,125864,125864,126466,126499,132499,132499,133099,133133,133166,136302,1522,1004,602,6000,600,1274,0,600,1198,3169,3136,598,101.2218851,12.96627912,0,20,8,150,1,-1,49,28,20,1.0
1,1,8,136304,137827,137827,138829,138829,139449,139482,145482,145482,146099,146132,146166,149255,1523,1002,620,6000,617,576,0,600,1862,3123,3089,1262,114.1746905,12.95280541,1,5,2,200,1,1,51,7,5,2.0
1,1,9,149257,150777,150777,151785,151785,152389,152422,161422,161422,162052,162085,162118,165194,1520,1008,604,9000,630,890,0,600,1548,3109,3076,948,130.1143347,15.93964421,0,19,1,150,1,-1,49,20,19,1.0
1,1,10,165196,166727,166727,167736,167736,168336,168368,176868,176868,177483,177516,177550,180658,1531,1009,600,8500,615,472,0,600,1973,3142,3108,1373,145.5784792,15.4641445,1,5,5,190,1,1,51,10,5,2.0
1,1,11,180661,182181,182181,183188,183188,183792,183825,190825,190825,191440,191473,191506,194613,1520,1007,604,7000,615,790,0,600,1664,3140,3107,1064,159.5331961,13.95471688,1,57,-37,190,-1,-1,49,20,57,1.0
1,1,12,194616,196138,196138,197143,197143,197745,197778,204278,204278,204895,204927,204960,208079,1522,1005,602,6500,617,415,0,600,2039,3152,3119,1439,172.9993699,13.4661738,1,7,7,160,1,1,51,14,7,2.0
1,1,13,208082,209602,209602,210605,210605,211211,211244,219244,219244,219876,219908,219941,223035,1520,1003,606,8000,632,550,0,600,1889,3127,3094,1289,187.9550143,14.95564444,1,14,14,180,1,1,51,28,14,2.0
1,1,14,223037,224562,224562,225567,225567,226168,226200,233700,233700,234303,234336,234369,237469,1525,1005,601,7500,603,1075,0,600,1391,3133,3100,791,202.3891717,14.43415736,1,28,-14,160,-1,-1,49,14,28,1.0
1,1,15,237471,238990,238990,239990,239990,240590,240622,247622,247622,248222,248255,248288,251409,1519,1000,600,7000,600,1100,0,600,1381,3154,3121,781,216.3291404,13.93996876,1,14,-4,180,-1,-1,49,10,14,1.0
1,1,16,251412,252930,252930,253934,253934,254540,254572,263572,263572,264172,264205,264238,267354,1518,1004,606,9000,600,860,0,600,1612,3149,3116,1012,232.2737925,15.94465206,0,27,1,180,1,-1,49,28,27,1.0
1,1,17,267356,268881,268881,269886,269886,270508,270540,279040,279040,279666,279699,279733,282807,1525,1005,622,8500,626,566,0,600,1856,3108,3074,1256,247.7271878,15.45339531,1,10,-3,200,-1,-1,49,7,10,1.0
