subject,format,run,trial_nr,n1,n2,choice,rt,accuracy,correct,isi
1,non-symbolic,1,1,7,10,True,775,1,-1,8.033000000000003
1,non-symbolic,1,2,5,14,False,892,0,-1,8.532000000000002
1,non-symbolic,1,3,7,14,True,611,1,-1,6.532999999999997
1,non-symbolic,1,4,7,10,True,660,1,-1,7.033000000000006
1,non-symbolic,1,5,5,10,True,830,1,-1,9.033
1,non-symbolic,1,6,28,10,False,687,1,1,7.532000000000005
1,non-symbolic,1,7,28,20,True,1274,0,1,6.033000000000005
1,non-symbolic,1,8,7,5,False,576,1,1,6.033000000000006
1,non-symbolic,1,9,20,19,True,890,0,1,9.033000000000001
1,non-symbolic,1,10,10,5,False,472,1,1,8.532000000000005
1,non-symbolic,1,11,20,57,True,790,1,-1,7.033
1,non-symbolic,1,12,14,7,False,415,1,1,6.532999999999991
1,non-symbolic,1,13,28,14,False,550,1,1,8.03300000000001
1,non-symbolic,1,14,14,28,True,1075,1,-1,7.531999999999981
1,non-symbolic,1,15,10,14,True,1100,1,-1,7.032000000000005
1,non-symbolic,1,16,28,27,True,860,0,1,9.032000000000005
1,non-symbolic,1,17,7,10,True,566,1,-1,8.531999999999996
1,non-symbolic,1,18,20,7,False,396,1,1,6.03200000000001
1,non-symbolic,1,19,28,40,True,618,1,-1,8.031999999999977
1,non-symbolic,1,20,5,14,True,487,1,-1,6.532999999999963
1,non-symbolic,1,21,5,3,False,643,1,1,7.533000000000044
1,non-symbolic,1,22,5,3,False,488,1,1,8.532000000000034
1,non-symbolic,1,23,20,10,False,698,1,1,6.532
1,non-symbolic,1,24,14,40,True,629,1,-1,9.032000000000034
1,non-symbolic,1,25,20,14,False,776,1,1,7.0329999999999675
1,non-symbolic,1,26,20,10,False,625,1,1,8.033000000000001
1,non-symbolic,1,27,10,28,True,560,1,-1,7.532999999999982
1,non-symbolic,1,28,14,13,False,1016,1,1,6.031999999999991
1,non-symbolic,1,29,10,14,True,1169,1,-1,7.032999999999968
1,non-symbolic,1,30,7,6,False,782,1,1,7.532000000000011
1,non-symbolic,1,31,14,40,True,809,1,-1,8.531999999999968
1,non-symbolic,1,32,10,7,False,497,1,1,8.033000000000015
1,non-symbolic,1,33,28,56,True,707,1,-1,9.032000000000025
1,non-symbolic,1,34,5,3,False,912,1,1,6.531999999999977
1,non-symbolic,1,35,14,10,False,903,1,1,6.0320000000001235
1,non-symbolic,1,36,10,5,False,518,1,1,8.532999999999934
1,non-symbolic,2,37,28,10,False,552,1,1,6.531999999999997
1,non-symbolic,2,38,7,6,False,1169,1,1,8.033
1,non-symbolic,2,39,14,5,False,559,1,1,9.032
1,non-symbolic,2,40,7,10,True,664,1,-1,8.531999999999996
1,non-symbolic,2,41,28,14,False,982,1,1,7.532000000000007
1,non-symbolic,2,42,14,28,True,468,1,-1,7.032000000000014
1,non-symbolic,2,43,20,28,True,584,1,-1,6.032
1,non-symbolic,2,44,10,5,False,570,1,1,8.531999999999977
1,non-symbolic,2,45,7,6,False,1267,1,1,7.53200000000002
1,non-symbolic,2,46,14,7,False,976,1,1,8.032
1,non-symbolic,2,47,5,10,True,530,1,-1,6.532000000000011
1,non-symbolic,2,48,10,4,False,458,1,1,7.032999999999996
1,non-symbolic,2,49,7,20,True,573,1,-1,6.033000000000011
1,non-symbolic,2,50,20,40,True,1236,1,-1,9.033000000000005
1,non-symbolic,2,51,5,2,False,465,1,1,7.0329999999999915
1,non-symbolic,2,52,28,14,False,1042,1,1,6.033
1,non-symbolic,2,53,14,13,True,1150,0,1,8.531999999999996
1,non-symbolic,2,54,28,20,False,813,1,1,7.532999999999953
1,non-symbolic,2,55,10,20,True,754,1,-1,6.533999999999987
1,non-symbolic,2,56,28,40,True,980,1,-1,8.032
1,non-symbolic,2,57,5,3,False,955,1,1,9.031999999999988
1,non-symbolic,2,58,10,7,False,910,1,1,6.032000000000002
1,non-symbolic,2,59,28,27,True,883,0,1,8.53200000000001
1,non-symbolic,2,60,14,5,False,414,1,1,6.533000000000024
1,non-symbolic,2,61,10,14,True,1054,1,-1,9.03300000000001
1,non-symbolic,2,62,5,4,False,853,1,1,7.531999999999977
1,non-symbolic,2,63,7,10,True,524,1,-1,7.032000000000006
