subject,format,run,trial_nr,p1,p2,n1,n2,choice
1,symbolic,1,1,1.0,0.55,14,47,True
1,symbolic,1,2,1.0,0.55,5,6,False
1,symbolic,1,3,1.0,0.55,14,17,False
1,symbolic,1,4,1.0,0.55,10,12,False
1,symbolic,1,5,1.0,0.55,14,28,True
1,symbolic,1,6,1.0,0.55,10,14,False
1,symbolic,1,7,1.0,0.55,28,33,False
1,symbolic,1,8,1.0,0.55,20,80,True
1,symbolic,1,9,1.0,0.55,5,12,True
1,symbolic,1,10,1.0,0.55,14,16,False
1,symbolic,1,11,1.0,0.55,28,29,False
1,symbolic,1,12,1.0,0.55,7,20,True
1,symbolic,1,13,1.0,0.55,28,79,True
1,symbolic,1,14,1.0,0.55,5,17,True
1,symbolic,1,15,1.0,0.55,7,20,True
1,symbolic,1,16,1.0,0.55,7,12,False
1,symbolic,1,17,1.0,0.55,20,40,False
1,symbolic,1,18,1.0,0.55,28,40,False
1,symbolic,1,19,1.0,0.55,10,17,True
1,symbolic,1,20,1.0,0.55,20,28,False
1,symbolic,1,21,1.0,0.55,5,6,False
1,symbolic,1,22,1.0,0.55,20,21,False
1,symbolic,1,23,1.0,0.55,7,24,True
1,symbolic,1,24,1.0,0.55,10,20,False
1,symbolic,1,25,1.0,0.55,20,80,True
1,symbolic,1,26,1.0,0.55,28,94,True
1,symbolic,1,27,1.0,0.55,20,34,False
1,symbolic,1,28,1.0,0.55,10,12,False
1,symbolic,1,29,1.0,0.55,14,15,False
1,symbolic,1,30,1.0,0.55,28,47,False
1,symbolic,1,31,1.0,0.55,28,29,False
1,symbolic,1,32,1.0,0.55,10,24,True
1,symbolic,1,33,1.0,0.55,7,14,True
1,symbolic,1,34,1.0,0.55,5,14,True
1,symbolic,1,35,1.0,0.55,10,20,True
1,symbolic,1,36,1.0,0.55,28,33,False
1,symbolic,1,37,1.0,0.55,7,14,True
1,symbolic,1,38,1.0,0.55,5,10,True
1,symbolic,1,39,1.0,0.55,14,56,True
1,symbolic,1,40,1.0,0.55,7,24,True
1,symbolic,1,41,1.0,0.55,14,28,True
1,symbolic,1,42,1.0,0.55,20,67,True
1,symbolic,1,43,1.0,0.55,10,12,False
1,symbolic,1,44,1.0,0.55,7,12,False
1,symbolic,1,45,1.0,0.55,5,7,False
1,symbolic,1,46,1.0,0.55,5,17,True
1,symbolic,1,47,1.0,0.55,14,17,False
1,symbolic,1,48,1.0,0.55,20,24,False
1,symbolic,2,49,1.0,0.55,5,10,True
1,symbolic,2,50,1.0,0.55,28,33,False
1,symbolic,2,51,1.0,0.55,7,12,True
1,symbolic,2,52,1.0,0.55,28,56,True
1,symbolic,2,53,1.0,0.55,20,80,True
1,symbolic,2,54,1.0,0.55,14,17,False
1,symbolic,2,55,1.0,0.55,10,17,True
1,symbolic,2,56,1.0,0.55,7,24,True
