subject,session,run,trial_nr,n,response,range,response_time
01,1,1,1,11.0,,narrow,
01,1,1,2,23.0,19.0,narrow,1.3179628000002594
01,1,1,3,23.0,25.0,narrow,0.8342437999999675
01,1,1,4,22.0,24.0,narrow,1.7013805999999931
01,1,1,5,21.0,17.0,narrow,2.0188812000001235
01,1,1,6,20.0,15.0,narrow,1.668271900000036
01,1,1,7,10.0,10.0,narrow,1.4016234999999142
01,1,1,8,19.0,19.0,narrow,1.651578800000152
01,1,1,9,21.0,19.0,narrow,1.9320007999999689
01,1,1,10,18.0,16.0,narrow,1.1513885000003938
01,1,1,11,22.0,21.0,narrow,1.1345446000000263
01,1,1,12,13.0,12.0,narrow,1.8349286000002392
01,1,1,13,20.0,17.0,narrow,0.1669378000001415
01,1,1,14,19.0,16.0,narrow,1.0509307000002082
01,1,1,15,19.0,20.0,narrow,0.350475500000357
01,1,1,16,20.0,,narrow,
01,1,1,17,20.0,16.0,narrow,2.18556609999996
01,1,1,18,12.0,14.0,narrow,1.1179821999999149
01,1,1,19,12.0,10.0,narrow,1.6013429999998152
01,1,1,20,16.0,17.0,narrow,1.9351895999998303
01,1,1,21,23.0,19.0,narrow,1.117887499999597
01,1,1,22,10.0,12.0,narrow,0.7506451999997807
01,1,1,23,18.0,18.0,narrow,1.501535800000056
01,1,1,24,16.0,19.0,narrow,2.1523627000001397
01,1,1,25,11.0,13.0,narrow,1.1846925999998348
01,1,1,26,12.0,,narrow,
01,1,1,27,20.0,19.0,narrow,1.6685867999999573
01,1,1,28,17.0,20.0,narrow,1.5517139000003226
01,1,1,29,10.0,10.0,narrow,0.4113220999997793
01,1,1,30,22.0,25.0,narrow,0.6173664000002645
01,1,2,1,11.0,12.0,narrow,1.3681848000001082
01,1,2,2,18.0,18.0,narrow,1.901818700000149
01,1,2,3,24.0,25.0,narrow,0.9677553999999872
01,1,2,4,17.0,15.0,narrow,1.1843732000002092
01,1,2,5,17.0,15.0,narrow,0.1334249000001364
01,1,2,6,17.0,17.0,narrow,0.1334610999997494
01,1,2,7,10.0,10.0,narrow,0.5841787999997905
01,1,2,8,20.0,20.0,narrow,1.9354174000000055
01,1,2,9,16.0,16.0,narrow,1.4180644000002758
01,1,2,10,25.0,20.0,narrow,0.8844205000000329
01,1,2,11,21.0,20.0,narrow,0.2836738999999397
01,1,2,12,13.0,12.0,narrow,1.067721899999924
01,1,2,13,24.0,21.0,narrow,2.1688819999999396
01,1,2,14,10.0,10.0,narrow,0.8843497000002571
01,1,2,15,18.0,18.0,narrow,2.034569200000078
01,1,2,16,10.0,11.0,narrow,1.6184290999999575
01,1,2,17,24.0,25.0,narrow,0.6173958999997922
01,1,2,18,19.0,18.0,narrow,0.2669332000004942
01,1,2,19,17.0,18.0,narrow,2.218899700000293
01,1,2,20,13.0,15.0,narrow,1.3178995999996914
01,1,2,21,22.0,19.0,narrow,2.1355252999992445
01,1,2,22,22.0,22.0,narrow,1.918385699999817
01,1,2,23,24.0,25.0,narrow,0.9011442999999416
01,1,2,24,21.0,17.0,narrow,0.9676127000002452
01,1,2,25,10.0,10.0,narrow,0.5169087000003856
01,1,2,26,20.0,22.0,narrow,2.0188542000005327
01,1,2,27,10.0,10.0,narrow,0.5670608999998876
01,1,2,28,19.0,19.0,narrow,1.0677839999998469
01,1,2,29,15.0,16.0,narrow,1.7675091000000975
01,1,2,30,25.0,21.0,narrow,0.7672281999994084
01,1,3,1,11.0,12.0,narrow,1.3513010999995458
01,1,3,2,12.0,12.0,narrow,0.2503225999998903
01,1,3,3,17.0,16.0,narrow,0.3505053999997471
01,1,3,4,10.0,10.0,narrow,0.7340496999995594
01,1,3,5,24.0,20.0,narrow,1.518315100000109
01,1,3,6,20.0,18.0,narrow,0.1833553000005849
01,1,3,7,17.0,17.0,narrow,1.5513663000001543
01,1,3,8,15.0,16.0,narrow,0.7172047000003658
01,1,3,9,17.0,17.0,narrow,0.483875299999454
01,1,3,10,25.0,21.0,narrow,2.2020201000004818
01,1,3,11,18.0,16.0,narrow,1.7352607000002536
01,1,3,12,14.0,12.0,narrow,2.0020086000004085
01,1,3,13,12.0,13.0,narrow,0.3471610000005967
01,1,3,14,11.0,10.0,narrow,1.017702400000417
01,1,3,15,16.0,15.0,narrow,0.7675009000004138
01,1,3,16,10.0,10.0,narrow,0.1668880999995963
01,1,3,17,15.0,19.0,narrow,0.5671824999999444
01,1,3,18,18.0,18.0,narrow,0.2168785000003481
01,1,3,19,10.0,11.0,narrow,1.3347397999996249
01,1,3,20,23.0,22.0,narrow,0.4168716999993194
01,1,3,21,25.0,21.0,narrow,1.3849245999999766
01,1,3,22,17.0,18.0,narrow,1.0843406000003597
01,1,3,23,24.0,20.0,narrow,1.8684911999998803
01,1,3,24,18.0,16.0,narrow,0.8006776000001992
01,1,3,25,25.0,22.0,narrow,0.1335400999996636
01,1,3,26,11.0,12.0,narrow,1.6686564000001454
01,1,3,27,13.0,13.0,narrow,2.0686479999994845
01,1,3,28,25.0,21.0,narrow,1.2847136999998838
01,1,3,29,19.0,16.0,narrow,1.1668718000000808
01,1,3,30,13.0,15.0,narrow,0.1165765999994619
01,1,4,1,13.0,14.0,narrow,1.0177464999997028
01,1,4,2,18.0,19.0,narrow,0.3837876999996297
01,1,4,3,19.0,17.0,narrow,1.7173987999995006
01,1,4,4,18.0,17.0,narrow,2.1021536000007472
01,1,4,5,25.0,25.0,narrow,0.8005730000004405
01,1,4,6,14.0,15.0,narrow,1.01788359999955
01,1,4,7,20.0,21.0,narrow,1.1513723999996728
01,1,4,8,10.0,11.0,narrow,0.9509981000001062
01,1,4,9,18.0,18.0,narrow,0.4505411000000094
01,1,4,10,20.0,17.0,narrow,0.3004377999995995
01,1,4,11,18.0,20.0,narrow,1.7352381000000603
01,1,4,12,25.0,20.0,narrow,0.0635330000004614
01,1,4,13,21.0,18.0,narrow,0.4137980999994397
01,1,4,14,25.0,21.0,narrow,0.230284300000676
01,1,4,15,22.0,,narrow,
01,1,4,16,17.0,18.0,narrow,1.38467750000018
01,1,4,17,16.0,16.0,narrow,1.48473709999962
01,1,4,18,16.0,15.0,narrow,2.085200000000441
01,1,4,19,12.0,13.0,narrow,1.4682056000001469
01,1,4,20,19.0,17.0,narrow,1.4013668000006874
01,1,4,21,11.0,12.0,narrow,1.0175659999995332
01,1,4,22,25.0,24.0,narrow,0.8507116000000678
01,1,4,23,18.0,19.0,narrow,1.2013121999998475
01,1,4,24,25.0,19.0,narrow,1.71827519999988
01,1,4,25,17.0,17.0,narrow,0.934277999999722
01,1,4,26,14.0,16.0,narrow,1.284552000000076
01,1,4,27,16.0,17.0,narrow,0.1001544000000649
01,1,4,28,17.0,17.0,narrow,0.7008205000001908
01,1,4,29,23.0,22.0,narrow,0.2503019999994649
01,1,4,30,10.0,11.0,narrow,0.3501836000004914
01,1,5,1,28.0,33.0,wide,1.334708899999896
01,1,5,2,34.0,31.0,wide,1.0176934999999503
01,1,5,3,19.0,21.0,wide,1.034244899999976
01,1,5,4,33.0,29.0,wide,0.6172034999999596
01,1,5,5,28.0,24.0,wide,0.2670693000000028
01,1,5,6,31.0,28.0,wide,1.88497229999939
01,1,5,7,10.0,13.0,wide,1.9186803000002328
01,1,5,8,40.0,34.0,wide,2.2854925999999978
01,1,5,9,32.0,24.0,wide,1.7331490999995367
01,1,5,10,27.0,25.0,wide,0.6341283000001567
01,1,5,11,30.0,26.0,wide,1.201145500000166
01,1,5,12,38.0,37.0,wide,1.151141600000301
01,1,5,13,31.0,,wide,
01,1,5,14,12.0,15.0,wide,1.551285700000335
01,1,5,15,13.0,13.0,wide,0.0300239999996847
01,1,5,16,33.0,29.0,wide,0.9843948999996428
